id,title,price,rating,availability,category,link,image
282,Inferno (Robert Langdon #4),Â£41.00,Five,In stock,Fiction,https://books.toscrape.com/catalogue/inferno-robert-langdon-4_176/index.html,https://books.toscrape.com/media/cache/e3/11/e3111146083821b5a3670d869ab40d2a.jpg
283,Crazy Rich Asians (Crazy Rich Asians #1),Â£49.13,Five,In stock,Fiction,https://books.toscrape.com/catalogue/crazy-rich-asians-crazy-rich-asians-1_143/index.html,https://books.toscrape.com/media/cache/9a/62/9a621372fed3a80015283013d8a452cd.jpg
284,Big Little Lies,Â£22.11,One,In stock,Fiction,https://books.toscrape.com/catalogue/big-little-lies_129/index.html,https://books.toscrape.com/media/cache/ef/b7/efb72b546fc7cab4ba1735b4b82c5851.jpg
285,The Course of Love,Â£16.78,Three,In stock,Fiction,https://books.toscrape.com/catalogue/the-course-of-love_109/index.html,https://books.toscrape.com/media/cache/f2/c9/f2c952cfbce6ab5d8400a0bb8ee4eb5c.jpg
286,When I'm Gone,Â£51.96,Three,In stock,Fiction,https://books.toscrape.com/catalogue/when-im-gone_95/index.html,https://books.toscrape.com/media/cache/13/a3/13a361d57f2b6021b2ae395a6fedd475.jpg
287,The Silent Wife,Â£12.34,Five,In stock,Fiction,https://books.toscrape.com/catalogue/the-silent-wife_83/index.html,https://books.toscrape.com/media/cache/9b/a3/9ba37429e4a2307fe0b2f4f4162dd636.jpg
288,The Bette Davis Club,Â£30.66,Three,In stock,Fiction,https://books.toscrape.com/catalogue/the-bette-davis-club_59/index.html,https://books.toscrape.com/media/cache/23/08/2308bf77130cf0a917642d82dbf4be05.jpg
289,Kitchens of the Great Midwest,Â£57.20,Five,In stock,Fiction,https://books.toscrape.com/catalogue/kitchens-of-the-great-midwest_28/index.html,https://books.toscrape.com/media/cache/5e/37/5e379c1cc7003127bc74257a1b721540.jpg
290,Bright Lines,Â£39.07,Five,In stock,Fiction,https://books.toscrape.com/catalogue/bright-lines_11/index.html,https://books.toscrape.com/media/cache/12/43/1243e7eb614f57f0e4cfee80553fa312.jpg
291,Birdsong: A Story in Pictures,Â£54.64,Three,In stock,Childrens,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,https://books.toscrape.com/media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg
292,The Bear and the Piano,Â£36.89,One,In stock,Childrens,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,https://books.toscrape.com/media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg
293,The Secret of Dreadwillow Carse,Â£56.13,One,In stock,Childrens,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,https://books.toscrape.com/media/cache/c4/a2/c4a2a1a026c67bcceb5a411c724d7d0c.jpg
294,The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Â£58.08,Four,In stock,Childrens,https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,https://books.toscrape.com/media/cache/26/32/2632a1e12f2c085fabbe022ae4cd6933.jpg
295,Little Red,Â£13.47,Three,In stock,Childrens,https://books.toscrape.com/catalogue/little-red_817/index.html,https://books.toscrape.com/media/cache/80/25/8025b80a40178f2a6dd4f99ad88e0fba.jpg
296,Walt Disney's Alice in Wonderland,Â£12.96,Five,In stock,Childrens,https://books.toscrape.com/catalogue/walt-disneys-alice-in-wonderland_777/index.html,https://books.toscrape.com/media/cache/28/50/2850439c2ba103fb69dba9cd2dd9f0c2.jpg
297,Twenty Yawns,Â£22.08,Two,In stock,Childrens,https://books.toscrape.com/catalogue/twenty-yawns_773/index.html,https://books.toscrape.com/media/cache/2b/38/2b380f77723c797c0389f978afa6db58.jpg
298,Rain Fish,Â£23.57,Three,In stock,Childrens,https://books.toscrape.com/catalogue/rain-fish_728/index.html,https://books.toscrape.com/media/cache/bb/e2/bbe26db72b8a32117bfe4981b7cc8147.jpg
299,Once Was a Time,Â£18.28,Two,In stock,Childrens,https://books.toscrape.com/catalogue/once-was-a-time_724/index.html,https://books.toscrape.com/media/cache/97/12/971212afa8e4ff49d92f678bc889d8b7.jpg
300,Luis Paints the World,Â£53.95,Three,In stock,Childrens,https://books.toscrape.com/catalogue/luis-paints-the-world_714/index.html,https://books.toscrape.com/media/cache/85/e7/85e75d5a9309da5807c82decf3d90263.jpg
301,Nap-a-Roo,Â£25.08,One,In stock,Childrens,https://books.toscrape.com/catalogue/nap-a-roo_567/index.html,https://books.toscrape.com/media/cache/27/1f/271faa1d7561473974d12803feb1f0a1.jpg
302,The Whale,Â£35.96,Four,In stock,Childrens,https://books.toscrape.com/catalogue/the-whale_501/index.html,https://books.toscrape.com/media/cache/6c/18/6c18ea03e294bfcfe07cf531c6c5f5b3.jpg
303,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Â£52.87,Three,In stock,Childrens,https://books.toscrape.com/catalogue/shrunken-treasures-literary-classics-short-sweet-and-silly_484/index.html,https://books.toscrape.com/media/cache/4f/1e/4f1ece2500f8dbacecca42d57befca03.jpg
304,Raymie Nightingale,Â£34.41,Two,In stock,Childrens,https://books.toscrape.com/catalogue/raymie-nightingale_482/index.html,https://books.toscrape.com/media/cache/8f/66/8f66ec46e671d6fca79649c10c7c8f8a.jpg
305,Playing from the Heart,Â£32.38,One,In stock,Childrens,https://books.toscrape.com/catalogue/playing-from-the-heart_481/index.html,https://books.toscrape.com/media/cache/1c/eb/1cebdf525ebe970a1dc3c5a8c50eae6b.jpg
306,Maybe Something Beautiful: How Art Transformed a Neighborhood,Â£22.54,One,In stock,Childrens,https://books.toscrape.com/catalogue/maybe-something-beautiful-how-art-transformed-a-neighborhood_386/index.html,https://books.toscrape.com/media/cache/c0/bb/c0bb6e42743b9c1aaf9b754501100a5d.jpg
307,The Wild Robot,Â£56.07,Three,In stock,Childrens,https://books.toscrape.com/catalogue/the-wild-robot_288/index.html,https://books.toscrape.com/media/cache/bf/db/bfdbf9726621276fc7821d705690dbae.jpg
308,The Thing About Jellyfish,Â£48.77,One,In stock,Childrens,https://books.toscrape.com/catalogue/the-thing-about-jellyfish_283/index.html,https://books.toscrape.com/media/cache/e0/90/e090748ce5a567207aed9185c97eb34b.jpg
309,The Lonely Ones,Â£43.59,Five,In stock,Childrens,https://books.toscrape.com/catalogue/the-lonely-ones_261/index.html,https://books.toscrape.com/media/cache/21/bd/21bdf7ae21476b1debf4aa3eefe6f29d.jpg
310,The Day the Crayons Came Home (Crayons),Â£26.33,Five,In stock,Childrens,https://books.toscrape.com/catalogue/the-day-the-crayons-came-home-crayons_241/index.html,https://books.toscrape.com/media/cache/ec/08/ec08efebaa33a403e54080b48c139794.jpg
311,The Cat in the Hat (Beginner Books B-1),Â£16.26,Two,In stock,Childrens,https://books.toscrape.com/catalogue/the-cat-in-the-hat-beginner-books-b-1_235/index.html,https://books.toscrape.com/media/cache/9b/f1/9bf106306301a44635aa7bd381c84e4d.jpg
312,Red: The True Story of Red Riding Hood,Â£28.54,Three,In stock,Childrens,https://books.toscrape.com/catalogue/red-the-true-story-of-red-riding-hood_210/index.html,https://books.toscrape.com/media/cache/70/4e/704e81b05e56dd84ecf607ea283952db.jpg
313,Horrible Bear!,Â£37.52,Two,In stock,Childrens,https://books.toscrape.com/catalogue/horrible-bear_168/index.html,https://books.toscrape.com/media/cache/d2/63/d26337dee5c0b13b56b7aea59d611570.jpg
314,Green Eggs and Ham (Beginner Books B-16),Â£10.79,Four,In stock,Childrens,https://books.toscrape.com/catalogue/green-eggs-and-ham-beginner-books-b-16_165/index.html,https://books.toscrape.com/media/cache/3a/0e/3a0e75e4f758f90a80965869afbe41b4.jpg
315,Counting Thyme,Â£10.62,One,In stock,Childrens,https://books.toscrape.com/catalogue/counting-thyme_142/index.html,https://books.toscrape.com/media/cache/e0/ae/e0ae97753a73b88b61b13b19977613dc.jpg
316,Are We There Yet?,Â£10.66,Three,In stock,Childrens,https://books.toscrape.com/catalogue/are-we-there-yet_122/index.html,https://books.toscrape.com/media/cache/f8/be/f8be3238a1cf039a3e7d50de1d4c2cfd.jpg
317,Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),Â£52.88,Four,In stock,Childrens,https://books.toscrape.com/catalogue/diary-of-a-minecraft-zombie-book-1-a-scare-of-a-dare-an-unofficial-minecraft-book_99/index.html,https://books.toscrape.com/media/cache/47/16/47160ff71abe23cb52968b3d1b9b7988.jpg
318,Matilda,Â£28.34,One,In stock,Childrens,https://books.toscrape.com/catalogue/matilda_32/index.html,https://books.toscrape.com/media/cache/03/47/0347bd215f4813edd81c2cd76bab53ca.jpg
319,Charlie and the Chocolate Factory (Charlie Bucket #1),Â£22.85,Three,In stock,Childrens,https://books.toscrape.com/catalogue/charlie-and-the-chocolate-factory-charlie-bucket-1_13/index.html,https://books.toscrape.com/media/cache/d6/cc/d6cc0c66e34dfc214b406208bbaf18e2.jpg
320,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Â£37.97,Two,In stock,Religion,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,https://books.toscrape.com/media/cache/95/30/953013d044aa313cc162dec414f3969a.jpg
321,You Are What You Love: The Spiritual Power of Habit,Â£21.87,Four,In stock,Religion,https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,https://books.toscrape.com/media/cache/6b/70/6b70f2cdb17d9ab7551240a88b9211fe.jpg
322,God: The Most Unpleasant Character in All Fiction,Â£30.03,Five,In stock,Religion,https://books.toscrape.com/catalogue/god-the-most-unpleasant-character-in-all-fiction_697/index.html,https://books.toscrape.com/media/cache/1f/db/1fdb125bcb8cee71f3404b4dc293348c.jpg
323,The Book of Mormon,Â£24.57,Three,In stock,Religion,https://books.toscrape.com/catalogue/the-book-of-mormon_571/index.html,https://books.toscrape.com/media/cache/83/db/83dbf86eb0fed1d99de2148eac4eb064.jpg
324,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Â£27.62,One,In stock,Religion,https://books.toscrape.com/catalogue/a-history-of-god-the-4000-year-quest-of-judaism-christianity-and-islam_310/index.html,https://books.toscrape.com/media/cache/71/91/7191a7d76eb6c3a18259541e2c038ae3.jpg
325,The Bhagavad Gita,Â£57.49,Three,In stock,Religion,https://books.toscrape.com/catalogue/the-bhagavad-gita_60/index.html,https://books.toscrape.com/media/cache/4e/69/4e69dacc99de838814d0f65c94e67f6c.jpg
326,Choosing Our Religion: The Spiritual Lives of America's Nones,Â£28.42,Four,In stock,Religion,https://books.toscrape.com/catalogue/choosing-our-religion-the-spiritual-lives-of-americas-nones_14/index.html,https://books.toscrape.com/media/cache/df/ab/dfabeab158046237ddb6b713b794909f.jpg
327,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,Five,In stock,Nonfiction,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,https://books.toscrape.com/media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg
328,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,https://books.toscrape.com/media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg
329,Reasons to Stay Alive,Â£26.41,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,https://books.toscrape.com/media/cache/cb/bd/cbbdb0222ee8a0f6ab61657412a15794.jpg
330,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â£23.11,Five,In stock,Nonfiction,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,https://books.toscrape.com/media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg
331,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Â£44.18,Four,In stock,Nonfiction,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,https://books.toscrape.com/media/cache/41/a2/41a20f35adf0caea24f208dc01ad7681.jpg
332,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â£31.12,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,https://books.toscrape.com/media/cache/03/86/038650c9e7517b4baf2a423cd8eed38f.jpg
333,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Â£16.77,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,https://books.toscrape.com/media/cache/95/64/95647d6a526bf54120b9445e124794e1.jpg
334,The Gutsy Girl: Escapades for Your Life of Epic Adventure,Â£37.13,One,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,https://books.toscrape.com/media/cache/64/15/641570cd7e7aded53c7d33d78a9629f1.jpg
335,The Electric Pencil: Drawings from Inside State Hospital No. 3,Â£56.06,One,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,https://books.toscrape.com/media/cache/2e/23/2e236e23ad52aa74505f224f6552eda8.jpg
336,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Â£41.83,Four,In stock,Nonfiction,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,https://books.toscrape.com/media/cache/f3/4f/f34ffb24cc21c9f9f52dad4fd8f3ac21.jpg
337,Reskilling America: Learning to Labor in the Twenty-First Century,Â£19.83,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,https://books.toscrape.com/media/cache/97/f8/97f8debeeaaece9603267653076e760f.jpg
338,In the Country We Love: My Family Divided,Â£22.00,Four,In stock,Nonfiction,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,https://books.toscrape.com/media/cache/fe/ea/feeafd2ad7b3077f8e74cbb1da9e3c7d.jpg
339,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Â£54.35,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,https://books.toscrape.com/media/cache/64/94/6494bf61176ca73b61255909230030be.jpg
340,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Â£29.14,Five,In stock,Nonfiction,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,https://books.toscrape.com/media/cache/88/9e/889e0bac4c7c0e7178f0165b8d3b4617.jpg
341,Algorithms to Live By: The Computer Science of Human Decisions,Â£30.81,One,In stock,Nonfiction,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,https://books.toscrape.com/media/cache/23/b4/23b42e094c02d52b14b11a960d49610e.jpg
342,The Power of Now: A Guide to Spiritual Enlightenment,Â£43.54,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,https://books.toscrape.com/media/cache/03/38/0338682e76bad3216cd4c6c28b2b625a.jpg
343,The Omnivore's Dilemma: A Natural History of Four Meals,Â£38.21,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,https://books.toscrape.com/media/cache/14/f3/14f3d525e2a114cd71e27201a16af188.jpg
344,The Genius of Birds,Â£17.24,One,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html,https://books.toscrape.com/media/cache/13/57/1357c6aa40c9e63d2f931927fbf81f3f.jpg
345,The Artist's Way: A Spiritual Path to Higher Creativity,Â£38.49,Five,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,https://books.toscrape.com/media/cache/0e/6d/0e6dc2484322c5b9e7854ced66fdf62d.jpg
346,So You've Been Publicly Shamed,Â£12.23,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html,https://books.toscrape.com/media/cache/6e/d4/6ed4991d97f60db29ec7b421e61a2cf3.jpg
347,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Â£19.43,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/daring-greatly-how-the-courage-to-be-vulnerable-transforms-the-way-we-live-love-parent-and-lead_799/index.html,https://books.toscrape.com/media/cache/55/ce/55ced903becc59121d6edb47a4dcfb56.jpg
348,Big Magic: Creative Living Beyond Fear,Â£30.80,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/big-magic-creative-living-beyond-fear_796/index.html,https://books.toscrape.com/media/cache/62/ad/62ad9b4077416ddc0c4908062bca0e5e.jpg
349,Becoming Wise: An Inquiry into the Mystery and Art of Living,Â£27.43,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/becoming-wise-an-inquiry-into-the-mystery-and-art-of-living_795/index.html,https://books.toscrape.com/media/cache/ff/69/ff69c96b05affa03f647287e46210bf9.jpg
350,Agnostic: A Spirited Manifesto,Â£12.51,Five,In stock,Nonfiction,https://books.toscrape.com/catalogue/agnostic-a-spirited-manifesto_786/index.html,https://books.toscrape.com/media/cache/9f/fc/9ffc43826233092d2acb4414f86627eb.jpg
351,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Â£38.20,Four,In stock,Nonfiction,https://books.toscrape.com/catalogue/whole-lotta-creativity-going-on-60-fun-and-unusual-exercises-to-awaken-and-strengthen-your-creativity_780/index.html,https://books.toscrape.com/media/cache/ba/36/ba368dfb2b6ae9979ff59d049c626167.jpg
352,What's It Like in Space?: Stories from Astronauts Who've Been There,Â£19.60,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/whats-it-like-in-space-stories-from-astronauts-whove-been-there_779/index.html,https://books.toscrape.com/media/cache/43/b7/43b70859e93901b019791cef86539ffc.jpg
353,The Year of Magical Thinking,Â£43.04,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-year-of-magical-thinking_770/index.html,https://books.toscrape.com/media/cache/bf/e5/bfe526c22c7c08235c27a6474ebb4db9.jpg
354,The Literature Book (Big Ideas Simply Explained),Â£17.43,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-literature-book-big-ideas-simply-explained_755/index.html,https://books.toscrape.com/media/cache/9e/ea/9eea51ac4a15d18aa976be459da30c47.jpg
355,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,Â£15.77,One,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-bad-ass-librarians-of-timbuktu-and-their-race-to-save-the-worlds-most-precious-manuscripts_745/index.html,https://books.toscrape.com/media/cache/88/90/8890073a9c9e3bb696f6baa84fb4dd95.jpg
356,Swell: A Year of Waves,Â£45.58,One,In stock,Nonfiction,https://books.toscrape.com/catalogue/swell-a-year-of-waves_740/index.html,https://books.toscrape.com/media/cache/10/28/1028b2cf417e49dc1c14609e437a98e0.jpg
357,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Â£21.95,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/no-dream-is-too-high-life-lessons-from-a-man-who-walked-on-the-moon_722/index.html,https://books.toscrape.com/media/cache/b5/6f/b56ff04effb66fe701a22abd4a7f1667.jpg
358,Looking for Lovely: Collecting the Moments that Matter,Â£29.14,Five,In stock,Nonfiction,https://books.toscrape.com/catalogue/looking-for-lovely-collecting-the-moments-that-matter_710/index.html,https://books.toscrape.com/media/cache/61/1e/611e1804ad968e309a5f788d4ebc1cb4.jpg
359,Let It Out: A Journey Through Journaling,Â£26.79,Five,In stock,Nonfiction,https://books.toscrape.com/catalogue/let-it-out-a-journey-through-journaling_708/index.html,https://books.toscrape.com/media/cache/51/fc/51fcd3e9384894e6a53a753d2ab856ee.jpg
360,Hamilton: The Revolution,Â£58.79,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/hamilton-the-revolution_699/index.html,https://books.toscrape.com/media/cache/34/ef/34ef0844cb1fbca6ab73444087fcf0e6.jpg
361,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Â£15.06,Four,In stock,Nonfiction,https://books.toscrape.com/catalogue/far-away-places-on-the-brink-of-change-seven-continents-twenty-five-years_694/index.html,https://books.toscrape.com/media/cache/11/e2/11e227bdb5fe8b43dcc2366a157a47c2.jpg
362,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Â£51.75,Five,In stock,Nonfiction,https://books.toscrape.com/catalogue/eaternity-more-than-150-deliciously-easy-vegan-recipes-for-a-long-healthy-satisfied-joyful-life_689/index.html,https://books.toscrape.com/media/cache/b1/e1/b1e15eef42c0d71596f9f9ad4e9f48b0.jpg
363,Buying In: The Secret Dialogue Between What We Buy and Who We Are,Â£37.80,Four,In stock,Nonfiction,https://books.toscrape.com/catalogue/buying-in-the-secret-dialogue-between-what-we-buy-and-who-we-are_670/index.html,https://books.toscrape.com/media/cache/f2/fa/f2faa289117546efa0b4068a07778ab0.jpg
364,Brain on Fire: My Month of Madness,Â£49.32,Five,In stock,Nonfiction,https://books.toscrape.com/catalogue/brain-on-fire-my-month-of-madness_669/index.html,https://books.toscrape.com/media/cache/88/aa/88aad1204951e0900906173b086e6695.jpg
365,Abstract City,Â£56.37,Five,In stock,Nonfiction,https://books.toscrape.com/catalogue/abstract-city_658/index.html,https://books.toscrape.com/media/cache/e7/70/e77019ebd71bcf6badb085bddf47c413.jpg
366,13 Hours: The Inside Account of What Really Happened In Benghazi,Â£27.06,One,In stock,Nonfiction,https://books.toscrape.com/catalogue/13-hours-the-inside-account-of-what-really-happened-in-benghazi_645/index.html,https://books.toscrape.com/media/cache/15/f7/15f78e0b04feb9b94e88865803cb5e9e.jpg
367,The Lonely City: Adventures in the Art of Being Alone,Â£33.26,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-lonely-city-adventures-in-the-art-of-being-alone_639/index.html,https://books.toscrape.com/media/cache/5c/5e/5c5e527fea6b17199773bb175b515aee.jpg
368,The Diary of a Young Girl,Â£59.90,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-diary-of-a-young-girl_634/index.html,https://books.toscrape.com/media/cache/83/d5/83d5526864a108d27fd4b03dd31ec18b.jpg
369,Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Â£21.21,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/snatched-how-a-drug-queen-went-undercover-for-the-dea-and-was-kidnapped-by-colombian-guerillas_631/index.html,https://books.toscrape.com/media/cache/2a/f3/2af39796852729270fb23e05a662a42c.jpg
370,Furiously Happy: A Funny Book About Horrible Things,Â£41.46,Four,In stock,Nonfiction,https://books.toscrape.com/catalogue/furiously-happy-a-funny-book-about-horrible-things_619/index.html,https://books.toscrape.com/media/cache/ab/2a/ab2ae4f02aa46271b4bfc77494039fc6.jpg
371,"The Sleep Revolution: Transforming Your Life, One Night at a Time",Â£11.68,Four,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-sleep-revolution-transforming-your-life-one-night-at-a-time_608/index.html,https://books.toscrape.com/media/cache/3d/c5/3dc5455313710cf7055c060114e25bf0.jpg
372,"Mother, Can You Not?",Â£16.89,Five,In stock,Nonfiction,https://books.toscrape.com/catalogue/mother-can-you-not_599/index.html,https://books.toscrape.com/media/cache/ae/03/ae03f5d4d4c2ee038ac4c4ce9b71e592.jpg
373,A Mother's Reckoning: Living in the Aftermath of Tragedy,Â£19.53,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/a-mothers-reckoning-living-in-the-aftermath-of-tragedy_585/index.html,https://books.toscrape.com/media/cache/28/58/285861a80930ffa7521dcb8bd19656e9.jpg
374,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Â£24.57,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/10-happier-how-i-tamed-the-voice-in-my-head-reduced-stress-without-losing-my-edge-and-found-self-help-that-actually-works_582/index.html,https://books.toscrape.com/media/cache/40/b2/40b246cf12df5345dc0371c040fddb4b.jpg
375,Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,Â£35.92,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/chernobyl-012340-the-incredible-true-story-of-the-worlds-worst-nuclear-disaster_560/index.html,https://books.toscrape.com/media/cache/5e/76/5e76a5026bd17a5b484ae2a60eec0542.jpg
376,"Zero to One: Notes on Startups, or How to Build the Future",Â£34.06,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/zero-to-one-notes-on-startups-or-how-to-build-the-future_555/index.html,https://books.toscrape.com/media/cache/f4/8e/f48ee738bc992a68d08eadcb4338a547.jpg
377,Why Not Me?,Â£17.76,One,In stock,Nonfiction,https://books.toscrape.com/catalogue/why-not-me_554/index.html,https://books.toscrape.com/media/cache/31/a6/31a61c2587add91e55a85fec33e93d15.jpg
378,When Breath Becomes Air,Â£39.36,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/when-breath-becomes-air_553/index.html,https://books.toscrape.com/media/cache/39/a5/39a5f0d3280010ca400eb4f5d262b950.jpg
379,"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",Â£28.45,Four,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-midnight-assassin-panic-scandal-and-the-hunt-for-americas-first-serial-killer_549/index.html,https://books.toscrape.com/media/cache/82/6c/826c590f552ce717a2972649350c8030.jpg
380,Smarter Faster Better: The Secrets of Being Productive in Life and Business,Â£38.89,Five,In stock,Nonfiction,https://books.toscrape.com/catalogue/smarter-faster-better-the-secrets-of-being-productive-in-life-and-business_543/index.html,https://books.toscrape.com/media/cache/21/88/21889b1eddaec853b02a41bdd06eef54.jpg
381,Rising Strong,Â£21.82,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/rising-strong_539/index.html,https://books.toscrape.com/media/cache/3b/f3/3bf3c719382c03984ab9766803bed964.jpg
382,Man's Search for Meaning,Â£29.48,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/mans-search-for-meaning_533/index.html,https://books.toscrape.com/media/cache/ed/ff/edffa2eec8d96b8ddcd53d5c2eff8453.jpg
383,"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",Â£25.06,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/love-that-boy-what-two-presidents-eight-road-trips-and-my-son-taught-me-about-a-parents-expectations_532/index.html,https://books.toscrape.com/media/cache/6d/1b/6d1b236549b8d5bc9e20786a25b7e7d1.jpg
384,Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,Â£12.55,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/living-forward-a-proven-plan-to-stop-drifting-and-get-the-life-you-want_531/index.html,https://books.toscrape.com/media/cache/c9/76/c9767187068d80827d0967225ce3925d.jpg
385,I Will Find You,Â£44.21,One,In stock,Nonfiction,https://books.toscrape.com/catalogue/i-will-find-you_524/index.html,https://books.toscrape.com/media/cache/87/28/8728f8880e95b848021f6a9b3dcd07ca.jpg
